tmid,period_min,period_max,place,diplomatic,lemmatized
31458,3,4,Egypt,χυ̣ριδίο̣ι̣ς̣* δ[ι]ακοσίας ἑξή̣[κοντα] [τ]έ̣σσ[α]ρας τοῖς χυρι[δίοις]* τ̣ὴν σπά̣νειν* ἐὰν οὔν σοι δοκῇ πέμψον ἐρ̣ρῶσθαί σε εὔχομαι .,"[['_', ''], ['_', 'χοιρίδιον', '_', ''], ['_', 'διακόσιοι', 'ἑξήκοντα', '_', ''], ['_', '_', ''], ['_', '_', 'τέσσαρες', '_', ''], ['_', '_', ''], ['_', '_', 'ὁ', 'χοιρίδιον', '_', ''], ['_', 'ὁ', 'σπάνις', '_', ''], ['_', ''], ['_', 'ἐάν', 'οὖν', 'σύ', 'δοκέω', 'πέμπω', '_'], ['_', '_', ''], ['_', 'ῥώννυμι', 'σύ', 'εὔχομαι', '.']]"
962,-3,-3,Arsinoites,"Ὀννῶφρ̣[ις] Ζήνωνι [χαί]-ρειν . ἔγρ[α]-ψάς μοι ἐπι-στεῖλαί σοι πό-σον χόρτον ἠγοράκαμεν παρὰ Ἀνδρομά-χωι . ἔχομεν οὖν ὃν κατε-φάγομεν καὶ ἐκόψα-μεν (ἀρούρας) ιβ δ´ η̣´ . ἔρρωσο . (ἔτους) λϛ , Φαῶφι ε . Ζ[ήνωνι] .","[['Ὀννωφρις', 'Ζήνων', 'χαίρω', '.', ''], ['γράφω', 'ἐγώ', 'ἐπιστέλλω', 'σύ', 'πόσος', 'χόρτος', 'ἀγοράζω', 'παρά', 'Ἀνδρόμαχος', '.'], ['ἔχω', 'οὖν', 'ὅς', 'κατεσθίω', 'καί', 'κόπτω', 'ἄρουρα', 'ιβ#', 'δ´', 'η´#', '.'], ['ῥώννυμι', '.'], ['ἔτος', 'λϛ#', ',', 'Φαωφί', 'ε#', '.', ''], ['Ζήνων', '.', '']]"
34424,4,5,Kysis,ὀπτι(…),"[['_', '_', '_', '']]"
69818,-1,-1,Herakleopolites,Σαραπίων Πετειμούθηι χα̣[ίρειν] [·] τ[οῦ] π̣ρ̣ὸ̣ς̣ Λ̣ε̣ω̣ν̣[ί]δην τὸν σι̣τολόγο[ν] χρηματισμοῦ ἀντίγραφο[ν] [ὑπόκειται] [·] ἔρρωσο · (ἔτους) λα Π̣α̣[ῦν]ι̣ κ̣ . Λεωνίδηι · κομισάμενος πα[ρὰ] [Κομο]άπιος τῶν ἐμπόρων πυροῦ [ἀρτάβας] [δια]κοσίας πρὸς τὴν κ̣α̣τ̣α̣λογ[ὴν] [μέτρησον] συν-ὑπογρά[φοντος] [Π]ετειμούθου τοῦ βασιλικοῦ γ̣ρ̣α̣μ̣[ματέως] τρ̣ι̣ῶν ἡμί̣σους (γίνονται) κ[αὶ] [σύ]μ̣βολον κ̣α̣ὶ̣ ἀν[τισύμβολον] [ποίησαι] [πρὸς] [αὐτοὺς] ὡς καθήκει̣ · τοῖς [γρ(αμματεῦσι)] (ἔτους) λα Ἐπ[εὶφ] Ἡρακλε[οδώρῳ] [(ἔτους)] [λα] [Ἐπεὶφ] Πετειμούθηι,"[['Σαραπίων', 'Πετειμοῦθις', 'χαίρω', '·', ''], ['τίς', 'πρός', 'Λεωνίδας', 'ὁ', 'σιτολόγος', 'χρηματισμός', 'ἀντίγραφον', 'ὑπόκειμαι', '·'], ['ῥώννυμι', '·'], ['ἔτος', 'λα', 'Παῦνι', 'κ#', '.', ''], ['Λεωνίδης', '·', ''], ['κομίζω', 'παρά', 'Κομοαπις', 'ὁ', 'ἔμπορος', 'πυρός', 'ἀρτάβη', 'διακόσιοι', 'πρός', 'ὁ', 'καταλογή', 'μετρέω', 'συνυπογράφω', 'Πετειμουθης', 'ὁ', 'βασιλικός', 'γραμματεύς', '_', 'τρεῖς', 'ἥμισυς', '_', 'γίγνομαι', '_', 'καί', 'σύμβολον', 'καί', 'ἀντισύμβολον', 'ποιέω', 'πρός', 'αὐτός', 'ὡς', 'καθήκω', '·'], ['ὁ', 'γραμματεύς', 'ἔτος', 'λα', 'Ἐπειφ', '_', 'Ἡρακλεόδωρος', 'ἔτος', 'λα', 'Ἐπειφ', '_', ''], ['Πετειμοῦθις', '']]"
4054,-1,-1,Herakleopolites,Ἀπολλώνιος Ἡφαιστίωνι χαί(ρειν) · χρη(μάτισον) Μένωνι χα(λκοῦ) ἑκατὸν εἴκοσι (γίνονται) ρκ ἔτους λδ ιϛ,"[['Ἀπολλώνιος', 'Ἡφαιστίων', 'χαίρω', '·', ''], ['χρηματίζω', 'Μένων', 'χαλκός', 'ἑκατόν', 'εἴκοσι', 'γίγνομαι', 'ρκ#', 'ἔτος', 'λδ', '_', 'ιϛ#']]"
27450,2,3,Egypt,αὐτοὺς κρατῆται [ἔπ]εμψα καὶ,"[['_', ''], ['_', '_', ''], ['_', 'αὐτός', '_', ''], ['_', '_', ''], ['_', 'κρατέω', '_'], ['_', 'πέμπω', 'καί', '_'], ['_', '_', '_', '']]"
1091,-3,-3,Alexandria,[Ἱεροκλῆς] [Ζή]νωνι χ̣α̣ί̣ρ̣ε̣ι̣[ν] [.] ὑγ̣[ι]α̣ίνω δὲ κ[αὶ] [αὐτός] [.] [κα]τ̣αγα̣[γ]ών μοι ἱερεῖον̣ ε̣ἰς τὰ Ἀρσιν[όεια] ἔρρωσο . Ἱ̣ε̣ρ̣οκλῆς [ἱερείου] [κατα]γωγῆς . Ζήνωνι .,"[['Ἱεροκλῆς', 'Ζήνων', 'χαίρω', '.', ''], ['_', ''], ['_', 'ὑγιαίνω', 'δέ', 'καί', 'αὐτός', '.'], ['_', ''], ['_', '_', ''], ['_', '_', 'κατάγω', 'ἐγώ', 'ἱερεῖον', 'εἰς', 'ὁ', 'Ἀρσινόεια', '_', ''], ['_', 'ῥώννυμι', '.'], ['_', ''], ['_', 'Ἱεροκλῆς', 'ἱερεῖον', 'καταγωγή', '.', ''], ['Ζήνων', '.', '']]"
29769,2,2,Claudianus Mons,Μαρκο* κανινιο* (δεκουρίωνι) Παλ̣ᾶς κουράτορ* [πραισιδίου] Ῥαημαι χα(ίρειν) . οὐκ εὐτόνησα τοῦ κιβαριάτην Δημήτριν . οὐ γὰρ εὑρίσκ̣[ω] τίνι αὐτὰ ἐπιθῖναι* διὰ τὴν ἔνδιαν* το͂ν* κτηνο͂ν* . λοιπὸν τήρι αὐτὰ ὡ̣ς ε̣ὑ̣ρ̣οῦ-μέν συ* καὶ ἄλλους καμήλους καὶ ἵπ̣ους̣* . μὴ αὐτά . ἔρρωσο .,"[['Μάρκος', 'Κανίνιος', 'δεκουρίων', 'Παλᾶς', 'κουράτωρ', 'πραισίδιον', 'Ῥαημαι', 'χαίρω', '.', ''], ['οὐ', 'εὐτονέω', 'ὁ', '_'], ['_', 'κιβαριάτης', 'Δημήτρις', '.', ''], ['οὐ', 'γάρ', 'εὑρίσκω', 'τίς', 'αὐτός', 'ἐπιτίθημι', 'διά', 'ὁ', 'ἔνδεια', 'ὁ', 'κτῆνος', '.'], ['λοιπός', 'τηρί', 'αὐτός', 'ὡς', 'εὑρόω', 'σύ', 'καί', 'ἄλλος', 'κάμηλος', 'καί', 'ἵππος', '.', ''], ['μή', 'αὐτός', '.', ''], ['ῥώννυμι', '.']]"
36896,6,6,Egypt,ἔγραψα τῷ ἐμῷ δεσπότῃ καθʼ ἃ κέλευσ[ε] [ἡ] [ὑμῶν] [μεγα]λοπρέπεια Παλατίνῳ τῷ ἐπιστάτῃ ἐν Ἀλ̣ε̣ξ̣α̣νδρεί[ᾳ],"[['_', ''], ['_', '_', 'γράφω', 'ὁ', 'ἐμός', 'δεσπότης', 'κατά', 'ὅς', 'κελεύω', '_'], ['_', '_', ''], ['_', 'ὁ', 'σύ', 'μεγαλοπρέπεια', 'Παλατῖνος', 'ὁ', 'ἐπιστάτης', 'ἐν', 'Ἀλεξάνδρεια', '_'], ['_', '_', '']]"
70798,1,1,Berenike,"[Σωσίβ(ιος)] [Ἀνδουρω(ι)] [χα(ίρειν)] [·] [πάρ]ες Πεταρποχράτη(ι) οἴνο(υ) ἰτα(λικὰ) ιϛ , κολ̣ο(φώνια) δ .","[['Σωσίβιος', 'Ἀνδουρως', 'χαίρω', '·', ''], ['παρίημι', 'Πεταρποχράτης', '_', 'οἶνος', 'ἰταλικός', 'ιϛ#', ',', 'κολοφώνιον', 'δ#', '.']]"
34342,4,5,Kysis,Ἀννουμέρις γεωργ(ῷ) χαίρ(ειν) . δὸς Ὥρῳ [ἀρτάβας] δύο γί(νονται) (ἀρτάβαι) β ἐρρῶσθ̣[αι],"[['Ἀννουμέρις', '_', ''], ['_', 'γεωργός', 'χαίρω', '.', ''], ['δίδωμι', '_'], ['_', 'Ὧρος', '_', ''], ['_', 'ἀρτάβη', 'δύο', 'γίγνομαι', 'ἀρτάβη', 'β#', '_'], ['_', 'ῥώννυμι', '_', '']]"
20845,7,7,Memphites,"[Στέφανος] [δ]ο̣ῦλ(ος) τῆς θεοτόκ(ου) Ἰωάννῃ ἀπαιτ(ητῇ) Πτολεμαίδ(ος) . παράσχ(ου) εἰς τροφ(ὴν) ταύρ(ου) α (καὶ) βοιδ̣(ίων) ϛ τοῦ μ̣οναστηρ(ίου) Πτολεμαίδ(ος) τρεφομ(ένων) δ(ιὰ) Σαμοῦν πρωγεωργ(οῦ)* (ὑπὲρ) τοῦ Ἐπὶφ μη(νὸς) \ια/ \ἰνδ(ικτίωνος)/ ἑκ(άστῳ) βοιδ(ίῳ) ἡ(μερῶν) ζ γ´ [(καὶ)] [𐅵] [(ὑπὲρ)] ταύρ(ου) α̣ γί(νονται) δύο ἥμισυ · γί(νονται) [ὀ]ρ̣(όβου) (ἀρτάβαι) β 𐅵 μ̣(όνον) , μη(νὸς) Φαρμ(οῦ)θ(ι) λ ἰνδ(ικτίωνος) ιβ . [Φαρμοῦθι] [λ] [ἰνδ](ικτίωνος) ι̣β [γί](νονται) [ὀρόβ(ου)] [(ἀρτάβαι)] δύο ὕμισυ* [Φα]ρμ(οῦ)θ(ι) λ ἰνδ(ικτίωνος) ιβ μέρος ὀρόβ(ου) π̣(αρὰ) τοῦ κύρου Στεφ[άνου] .","[['Στέφανος', 'δοῦλος', 'ὁ', 'θεοτόκος', 'Ἰωάννης', 'ἀπαιτητής', 'Πτολεμαίς', '.', ''], ['παρέχω', 'εἰς', 'τροφή', 'ταῦρος', 'α#', 'καί', 'βοίδιον', 'ϛ#', '_', 'ὁ', 'μοναστήριος', 'Πτολεμαίς', 'τρέφω', 'διά', 'Σαμοῦν', 'προγεωργός', 'ὑπέρ', 'ὁ', 'Ἐπείφ', 'μείς', 'ια#', 'ἰνδικτίων', 'ἕκαστος', 'βοίδιον', 'ἡμέρα', 'ζ#', 'γ´#', 'καί', '𐅵', 'ὑπέρ', 'ταῦρος', 'α#', 'γίγνομαι', 'δύο', 'ἥμισυς', '·'], ['γίγνομαι', 'ὄροβος', 'ἀρτάβη', 'β#', '𐅵', 'μόνον', ',', 'μείς', 'Φαρμουθί', 'λ#', 'ἰνδικτίων', 'ιβ#', '.'], ['Φαρμουθί', 'λ#', 'ἰνδικτίων', 'ιβ#', 'γίγνομαι', 'ὄροβος', 'ἀρτάβη', 'δύο', 'ἥμισυς'], ['Φαρμουθί', 'λ#', 'ἰνδικτίων', 'ιβ#', 'μέρος', 'ὄροβος', 'παρά', 'ὁ', 'κυρόω', 'Στέφανος', '.', '']]"
7339,-3,-3,Egypt,[λ]ιθεία ὑπʼ ἐμοῦ τοὺς πλείους λίθ̣[ους] καὶ μὴ ἀξίους ὄ[ντας] ἐγὼ δὲ π̣ᾶσαν λιθείαν οὐ πρότερον [ἑτοι]-μασθῆναι ὑπὸ τ[ο]ῦ καθεσταμε[ν] οὐδὲ τὴν̣ κ̣αὶ λ̣[α]μβά̣ν̣ων̣,"[['_', ''], ['_', '_', ''], ['_', 'λιθεία', ''], ['ὑπό', 'ἐγώ', '_'], ['_', 'ὁ', 'πολύς', 'λίθος', '_', ''], ['_', 'καί', 'μή', 'ἄξιος', 'εἰμί', '_', ''], ['_', 'ἐγώ', 'δέ', 'πᾶς', '_', ''], ['_', 'λιθεία', 'οὐ', 'πρότερος', '_', ''], ['_', 'ἑτοιμάζω', 'ὑπό', 'ὁ', '_'], ['_', '_', '_', ''], ['_', 'οὐδέ', '_', ''], ['_', '_', 'ὁ', '_', ''], ['_', '_', 'καί', '_', ''], ['_', 'λαμβάνω', '_', ''], ['_', '_', '']]"
1231,-3,-3,Arsinoites,"[Ζήνωνι] χαίρειν . περὶ ὧν μοι ἐνετείλω̣ περί τε τοῦ γαυνάκ̣ο̣υ̣ κ̣[αὶ] [οὐχ] [εὑρήκ]α̣μεν , οὐδὲ γνάφαλλα ὡσαύτως . χαλκοῦς οὔ φησι [ὁ] [δεῖνα] [λαβεῖν] [εἰ]ς̣ τὸ φόρετρον τοῦ ὀρόβου . συνλογεισάμενος* οὖν τό τε φόρε[τρον] [ἀπ]όστειλον , ὅπως καταχθῆι ὁ ὅροβος* · ἔσται δὲ κεκοσκινευ[μένος] [λαβὲ] [δὲ] [κα]ὶ παρὰ Ἑρμαφίλου ἐπιστολὴν τῆ̣ς ἐξαγωγῆς , ὅπως μὴ κωλυθ[ῶμεν] . ἔρρω[σο] [.] Ζήνωνι .","[['_', 'Ζήνων', 'χαίρω', '.', ''], ['περί', 'ὅς', 'ἐγώ', 'ἐντέλλω', 'περί', 'τε', 'ὁ', 'γαύνακος', 'καί', 'οὐ', 'εὑρίσκω', ',', 'οὐδέ', 'γνάφαλλον', 'ὡσαύτως', '.', '', ''], ['χάλκεος', 'οὔτε', 'φημί', 'ὁ', 'δεῖνα', 'λαμβάνω', 'εἰς', 'ὁ', 'φόρετρον', 'ὁ', 'ὄροβος', '.'], ['συλλογίζομαι', 'οὖν', 'ὁ', 'τε', 'φόρετρον', '_', 'ἀποστέλλω', ',', 'ὅπως', 'κατάσσω', 'ὁ', 'ὄροβος', '·'], ['εἰμί', 'δέ', 'κοσκινεύω', 'λαμβάνω', 'δέ', 'καί', 'παρά', 'Ἑρμάφιλος', 'ἐπιστολή', 'ὁ', 'ἐξαγωγή', ',', 'ὅπως', 'μή', 'κωλύω', '.'], ['ῥώννυμι', '.'], ['_', ''], ['Ζήνων', '.', '']]"
757,-3,-3,Alexandria,"Ἀπολλώνιος Πανακέστορι χαίρειν . τ̣ὸ̣ [π]λοῖον ἔτι πρότερον ἀπεστάλκειμεν ἄν σοι , ἀλλʼ ὁρῶμεν μ̣έ̣[γα] [ἀνή]λ̣ω̣μ̣α̣ ἐσόμενον εἰς τοὺς ναύτας . εἰ μὲν οὖν δύνασαι τῶν ἐγ* Κερκῆι τισὶν δοῦναι , οἵτινες ἐργῶνται καὶ δια[θ]ρ̣έψο̣υ̣σ̣ι̣ τ̣οὺς̣ ν̣[αύ]τ̣[α]ς , ὅταν δέ σοι χρεία ἦι τοῦ πλοίου ἀποχρήσουσι , γράψον ἡμῖν · ἀποστελοῦμεν γάρ σοι . εἰ δὲ μή , οὐχ ὁρῶ πῶς δυνάμεθα καθημένοις τοῖς ναύτοις* τὸν πλεῖστον χρόνον τοὺς μισθοὺς διὰ παντὸς διδόναι . ἔρρωσο . (ἔτους) κθ , Ὑπερβερεταίου κγ , Θῶυθ κδ . (ἔτους) κθ , Φαῶφι β . Ἀπολλώνιος φυτείας . Πανακέστορι .","[['Ἀπολλώνιος', 'Πανακέστωρ', 'χαίρω', '.', ''], ['ὁ', 'πλοῖον', 'ἔτι', 'πρότερος', 'ἀποστάλκειμι', 'ἄν', 'σύ', ',', 'ἀλλά', 'ὁράω', 'μέγας', 'ἀνήλωμα', 'εἰμί', 'εἰς', 'ὁ', 'ναύτης', '.'], ['εἰ', 'μέν', 'οὖν', 'δύναμαι', 'ὁ', 'ἐν', 'Κερκῆς', 'τις', 'δίδωμι', ',', 'ὅστις', 'ἐργάζομαι', 'καί', 'διατρέφω', 'ὁ', 'ναύτης', ',', 'ὅταν', 'δέ', 'σύ', 'χρεία', 'εἰμί', 'ὁ', 'πλοῖον', 'ἀποχράω', ',', 'γράφω', 'ἐγώ', '·'], ['ἀποστέλλω', 'γάρ', 'σύ', '.'], ['εἰ', 'δέ', 'μή', ',', 'οὐ', 'ὁράω', 'πῶς', 'δύναμαι', 'κάθημαι', 'ὁ', 'ναύτης', 'ὁ', 'πολύς', 'χρόνος', 'ὁ', 'μισθός', 'διά', 'πᾶς', 'δίδωμι', '.', ''], ['ῥώννυμι', '.'], ['ἔτος', 'κθ#', ',', 'Ὑπερβερεταῖος', 'κγ#', ',', 'Θωθ', 'κδ#', '.', ''], ['ἔτος', 'κθ#', ',', 'Φαωφί', 'β#', '.', ''], ['Ἀπολλώνιος', 'φυτεία', '.', ''], ['Πανακέστωρ', '.', '']]"
80630,1,2,Thebes,Γάιος Ἄρριος Ὡρος* Ὀ̣σο̣ρουήρ̣ι̣ο̣ς χαίρειν . γ̣ί̣(νεται?) α .,"[['Γαῗος', 'Ἄρριος', 'Ὧρος', 'Ὀσορουῆρις', 'χαίρω', '.', ''], ['γίγνομαι', 'α#', '.']]"
